"cityId","cityName_CN","cityName_EN","Lon","Lat","Regis_pop","Res_pop","GDP","Employ_pct","Patent","SM_degree","Mob_degree","Pub_degree"
450700,"钦州","Qinzhou",109.028,22.187,1500000,1519000,51113130000,0.298,528,751972,317250,62
211300,"朝阳","Chaoyang",120.013,41.5119,610000,712000,18003690000,2.435,398,856689,146838,22
450400,"梧州","Wuzhou",110.992,23.4804,790000,931000,56176120000,1.005,589,1085945,354603,28
141000,"临汾","Linfen",111.378,36.2269,810000,989000,26120240000,1.501,496,1255525,273318,125
360800,"吉安","Ji'an",114.823,26.9731,590000,688000,23290660000,1.331,2873,1040612,527969,93
211200,"铁岭","Tieling",124.172,42.6418,430000,593000,12498160000,1.396,414,1036044,207090,48
530800,"普洱","Pu'er",100.72,23.1877,230000,354000,13241340000,2.585,155,538482,92405,34
411200,"三门峡","Sanmenxia",111.106,34.363,640000,650000,38500640000,2.242,476,828318,270518,21
511000,"内江","Neijiang",104.909,29.6404,1410000,1511000,47169680000,0.665,718,780629,268278,70
140700,"晋中","Jinzhong",112.961,37.3268,620000,743000,21628320000,3.17,969,1171666,384798,100
230300,"鸡西","Jixi",132.281,45.628,830000,851000,16478170000,1.471,233,887112,105001,1
421100,"黄冈","Huanggang",115.339,30.716,350000,426000,20316090000,1.643,1462,1232130,596425,78
451100,"贺州","Hezhou",111.359,24.359,1190000,1214000,29986360000,0.582,378,573695,185767,61
230500,"双鸭山","Shuangyashan",132.544,46.6787,480000,486000,12135250000,1.13,197,586667,97986,1
620300,"金昌","Jinchang",102.037,38.4333,210000,254000,14193510000,1.471,408,561497,101257,12
450600,"防城港","Fangchenggang",107.992,21.8854,580000,645000,51129220000,0.629,126,536475,189646,6
620400,"白银","Baiyin",104.622,36.6116,5e+05,635000,25889930000,1.578,393,606305,157643,20
620200,"嘉峪关","Jiayuguan",98.193,39.8134,210000,263000,15340890000,1.438,279,619690,145288,5
530500,"保山","Baoshan",98.9733,24.9778,930000,954000,23459100000,0.508,226,591433,133853,22
512000,"资阳","Ziyang",104.952,30.1799,1100000,1161000,44552510000,1.205,668,706108,280159,3
610900,"安康","Ankang",108.927,32.759,1010000,1027000,25215830000,1.229,540,748058,295812,47
640200,"石嘴山","Shizuishan",106.514,39.0044,440000,532000,36345600000,1.069,1370,864157,99393,7
530600,"昭通","Zhaotong",104.001,27.6532,910000,958000,23357440000,0.559,201,538253,258723,21
530700,"丽江","Lijiang",100.525,26.9422,160000,223000,11678400000,2.116,254,1073628,360850,5
610800,"榆林","Yulin(SX)",109.568,38.0384,580000,1274000,55671500000,2.103,944,1140897,333333,88
150800,"巴彦淖尔","Bayannur",107.57,41.4468,520000,587000,2.973e+10,1.662,265,478775,125022,7
620900,"酒泉","Jiuquan",96.0577,40.2579,410000,559000,16871310000,1.938,618,512334,379707,18
